"Your comment has been saved.","Se ha guardado el comentario."
"There was an error when updating the quote.","Ha ocurrido un error al actualizar el carrito."
"Starts with field closed","Iniciar con el campo cerrado"
"Starts with field opened","Iniciar con el campo abierto"
"Render field without collapse","Renderizar campo sin que se pueda plegar"
"Cart %1 doesn't contain products","El carrito %1 no contiene productos"
"The order comment could not be saved","No se ha podido guardar el comentario"
"Comment is too long","El comentario es demasiado largo"
"Order Comment","Comentario de pedido"
"Edit Order Comment","Comentario de pedido"
"Do you have any comments regarding the order?","¿Tienes algún comentario sobre el pedido?"
"Enter your comment...","Introduce tu comentario..."
"Save Comment","Guardar comentario"
"Enter comment","Introducir comentario"
"Remaining characters:","Caracteres restantes:"
"Maximum length in characters","Carecteres máximos"
"Show comments in customer account","Mostrar comentario en cuenta de cliente"
"Initial collapse state on checkout page","Estado inicial del campo en el proceso de compra"
